timestamp,temp,feels_like,humidity,pressure,wind_speed,aqi_reported,pm2_5,pm10,no2,so2,co,o3
2025-10-28 00:00:00+00:00,,,,,,3,48.79,93.15,1.96,7.04,283.58,116.74
2025-10-28 01:00:00+00:00,,,,,,3,47.7,90.23,1.79,6.69,289.66,115.19
2025-10-28 02:00:00+00:00,,,,,,3,48.14,90.25,1.82,6.92,297.83,115.17
2025-10-28 03:00:00+00:00,,,,,,3,49.28,92.02,2.36,7.4,306.13,116.55
2025-10-28 04:00:00+00:00,,,,,,4,50.55,93.48,2.72,7.75,313.43,119.41
2025-10-28 05:00:00+00:00,,,,,,4,53.26,96.59,2.78,7.99,325.21,125.71
2025-10-28 06:00:00+00:00,,,,,,4,57.75,101.8,2.58,8.23,339.1,135.73
2025-10-28 07:00:00+00:00,,,,,,4,63.18,107.27,2.06,8.42,348.11,148.14
2025-10-28 08:00:00+00:00,,,,,,4,67.91,110.43,1.55,8.37,347.54,159.51
2025-10-28 09:00:00+00:00,,,,,,4,69.77,109.29,1.3,8.02,331.71,167.29
2025-10-28 10:00:00+00:00,,,,,,4,67.77,103.44,1.25,7.23,305.15,170.21
2025-10-28 11:00:00+00:00,,,,,,4,64.87,98.17,1.39,6.59,284.95,168.57
2025-10-28 12:00:00+00:00,,,,,,4,61.88,93.11,1.78,6.3,273.4,165.09
2025-10-28 13:00:00+00:00,,,,,,4,58.55,87.88,2.39,6.23,267.83,159.34
2025-10-28 14:00:00+00:00,,,,,,4,54.78,82.69,2.47,6.19,263.35,150.9
2025-10-28 15:00:00+00:00,,,,,,4,52.28,80.0,2.32,6.17,264.31,142.91
2025-10-28 16:00:00+00:00,,,,,,4,52.03,80.91,2.34,6.28,274.72,137.8
2025-10-28 17:00:00+00:00,,,,,,4,53.88,85.75,2.52,6.81,289.85,134.96
2025-10-28 18:00:00+00:00,,,,,,4,55.72,90.94,2.57,7.25,300.02,133.16
2025-10-28 19:00:00+00:00,,,,,,4,56.59,94.8,2.5,7.51,304.51,131.1
2025-10-28 20:00:00+00:00,,,,,,4,57.06,98.11,2.38,7.63,307.74,129.45
2025-10-28 21:00:00+00:00,,,,,,4,56.81,99.74,2.18,7.44,308.41,127.93
2025-10-28 22:00:00+00:00,,,,,,4,57.64,103.44,2.01,7.46,307.02,126.34
2025-10-28 23:00:00+00:00,,,,,,4,59.57,109.15,1.88,7.66,304.96,125.1
2025-10-29 00:00:00+00:00,,,,,,4,60.38,112.04,1.74,7.61,302.67,123.82
2025-10-29 01:00:00+00:00,,,,,,4,60.5,113.24,1.65,7.54,303.23,122.15
2025-10-29 02:00:00+00:00,,,,,,4,60.86,114.59,1.65,7.62,307.95,120.45
2025-10-29 03:00:00+00:00,,,,,,4,61.09,115.44,2.16,7.71,315.61,119.44
2025-10-29 04:00:00+00:00,,,,,,4,60.06,112.86,2.46,7.67,325.55,119.21
2025-10-29 05:00:00+00:00,,,,,,4,60.51,112.07,2.45,7.81,341.63,123.98
2025-10-29 06:00:00+00:00,,,,,,4,62.95,113.78,2.17,8.01,359.13,133.08
2025-10-29 07:00:00+00:00,,,,,,4,64.68,112.77,1.67,7.84,368.03,142.6
2025-10-29 08:00:00+00:00,,,,,,4,63.37,106.74,1.3,7.28,363.07,147.53
2025-10-29 09:00:00+00:00,,,,,,4,59.94,98.89,1.17,6.77,349.83,148.73
2025-10-29 10:00:00+00:00,,,,,,4,55.57,90.57,1.18,6.31,335.37,148.32
2025-10-29 11:00:00+00:00,,,,,,4,50.75,82.12,1.33,5.92,319.91,145.28
2025-10-29 12:00:00+00:00,,,,,,4,46.04,74.47,1.68,5.74,307.06,140.05
2025-10-29 13:00:00+00:00,,,,,,3,41.72,67.85,2.17,5.69,298.96,133.05
