timestamp,temp,feels_like,humidity,pressure,wind_speed,aqi_reported,pm2_5,pm10,no2,so2,co,o3,predicted_aqi
2025-11-09 15:00:00+00:00,26.93,27.12,46,1013,3.15,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-09 18:00:00+00:00,25.46,25.34,49,1013,3.19,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-09 21:00:00+00:00,23.67,23.4,50,1013,3.3,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 00:00:00+00:00,23.19,22.87,50,1012,2.51,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 03:00:00+00:00,24.09,23.83,49,1014,2.31,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 06:00:00+00:00,26.21,26.21,44,1014,2.8,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 09:00:00+00:00,26.96,27.15,46,1012,4.6,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 12:00:00+00:00,26.22,26.22,49,1012,4.21,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 15:00:00+00:00,24.92,24.93,56,1013,3.51,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 18:00:00+00:00,24.32,24.27,56,1014,3.13,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-10 21:00:00+00:00,23.6,23.48,56,1013,2.09,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 00:00:00+00:00,22.7,22.51,57,1013,0.57,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 03:00:00+00:00,23.69,23.5,53,1015,0.59,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 06:00:00+00:00,25.64,25.46,46,1015,1.57,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 09:00:00+00:00,26.74,26.87,44,1013,3.31,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 12:00:00+00:00,26.02,26.02,48,1013,4.72,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 15:00:00+00:00,24.87,24.8,53,1015,3.88,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 18:00:00+00:00,24.19,24.13,56,1015,2.36,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-11 21:00:00+00:00,23.68,23.64,59,1014,2.59,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-12 00:00:00+00:00,23.14,23.08,60,1014,2.79,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-12 03:00:00+00:00,23.62,23.53,57,1016,2.09,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-12 06:00:00+00:00,26.31,26.31,45,1016,1.96,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-12 09:00:00+00:00,27.44,27.44,44,1014,4.42,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
2025-11-12 12:00:00+00:00,26.17,26.17,50,1014,5.69,3,25.65,84.35,0.07,0.31,103.62,103.13,3.028577829443579
